ID,order_key,part_supply_ID,line_number,quantity,extended_price,discount,tax,return_flag,line_status,ship_date,commitment_date,receipt_date,ship_instructions,ship_mode,comments
1,472,10,2,6,25.2,0.29,2.7,N,Pending,2023-06-09,2023-05-29,2023-06-08,Already bit role school tax school argue.,Land,Far cause her despite value.
2,809,112,5,5,74.21,0.42,5.99,Y,Shipped,2023-07-28,2023-04-10,2023-03-28,Benefit yet coach Republican.,Land,Pass star moment.
3,470,30,3,3,97.07,0.08,6.06,N,Pending,2024-01-31,2023-09-08,2023-10-10,Anyone my ten quite agent.,Land,Example society hour administration method interview by.
4,591,164,5,8,81.23,0.31,2.46,Y,Pending,2023-10-26,2023-06-20,2024-02-05,Eight perhaps home.,Air,Deep do big can focus best kid.
5,722,170,3,9,15.72,0.29,7.51,Y,Pending,2023-11-28,2024-01-16,2023-11-13,Light mission record never whatever compare well represent.,Land,Page interview open design owner degree.
6,554,138,1,8,17.85,0.19,2.22,N,Shipped,2024-01-14,2023-12-06,2023-10-05,Particularly we determine pay entire.,Air,Series usually card certain.
7,457,120,3,7,69.93,0.19,2.06,N,Pending,2023-05-12,2023-06-15,2023-11-24,This offer boy sit company candidate.,Land,Pull those someone.
8,220,63,1,7,53.55,0.35,8.2,Y,Shipped,2023-10-20,2023-11-22,2023-10-20,Call crime economic government response.,Sea,Safe number dark property event expect and center.
9,39,98,1,2,56.04,0.06,3.99,N,Pending,2023-08-05,2023-11-01,2023-03-06,Free assume treat series much woman again.,Land,Available something month situation conference hospital ahead.
10,497,168,1,7,84.93,0.34,5.53,N,Pending,2023-08-06,2023-11-06,2023-12-22,Letter right president economic yard.,Air,Next room make out too money do.
11,223,25,3,2,29.4,0.26,8.28,N,Shipped,2023-05-23,2023-10-09,2023-12-22,Join director author imagine.,Land,Challenge team easy able season indeed why.
12,537,60,2,4,55.62,0.0,4.56,N,Pending,2023-10-21,2023-08-10,2023-03-13,Study else hotel middle.,Sea,Tv office condition magazine themselves kind.
13,623,45,5,9,17.21,0.48,9.31,Y,Pending,2024-02-06,2023-06-12,2023-04-05,Common after candidate city reflect character.,Sea,Recent benefit young animal southern.
14,369,95,4,8,50.79,0.01,6.89,N,Shipped,2023-02-24,2023-12-20,2023-05-10,Color one fill company.,Land,Enjoy cold picture it when night work.
15,129,147,2,9,69.03,0.2,9.45,Y,Pending,2024-01-03,2023-05-15,2023-09-10,Expert action its executive.,Air,Their short crime those a.
16,592,43,4,2,93.91,0.39,2.79,N,Shipped,2023-10-20,2023-12-29,2023-09-10,Away opportunity reach impact.,Sea,He later local information heavy thousand culture.
17,970,116,4,10,77.63,0.31,3.08,N,Pending,2024-01-08,2023-10-13,2023-12-14,If push gun modern myself.,Land,Kitchen impact expect present indeed possible.
18,759,23,2,10,47.72,0.39,6.73,Y,Shipped,2024-01-31,2024-01-11,2023-11-05,Phone house form medical war.,Land,What his team partner.
19,333,185,1,1,71.52,0.46,3.93,N,Pending,2023-08-16,2024-02-13,2023-09-11,Pm radio real character break skin travel.,Land,Onto rule nation can.
20,308,107,3,10,55.6,0.1,3.79,Y,Pending,2023-11-20,2023-07-03,2023-07-28,Increase subject interview stock the bag national.,Land,Social again their although opportunity police begin.
21,786,30,2,2,50.27,0.26,7.67,Y,Shipped,2023-10-20,2023-06-01,2023-02-15,Base option study if up.,Sea,Ago trip entire guy consumer game occur including.
22,213,122,4,1,64.57,0.27,1.11,N,Pending,2023-09-28,2023-09-03,2023-06-22,Wrong door bring simple little recognize southern.,Air,She available program talk.
23,498,57,5,4,67.12,0.22,6.02,N,Pending,2023-09-05,2023-10-15,2023-05-07,Wear be do rather.,Land,Attention local policy develop national child pay foot.
24,9,137,4,8,62.48,0.02,7.95,N,Pending,2023-07-02,2023-07-12,2023-07-05,Imagine born sense fine decide poor key.,Land,Fast bank hold simple.
25,411,154,3,6,80.68,0.06,5.04,N,Shipped,2024-01-05,2023-07-27,2023-10-09,Myself light decade project.,Land,Under analysis purpose movie south.
26,365,85,1,3,64.72,0.13,9.02,Y,Shipped,2023-03-08,2023-05-24,2023-12-13,Cell agreement should production.,Land,Over himself edge energy.
27,635,66,3,4,73.81,0.32,6.29,Y,Pending,2023-06-17,2023-03-08,2023-03-12,Miss send couple.,Air,Major to upon instead.
28,569,171,1,10,94.99,0.0,3.92,N,Pending,2023-07-10,2023-11-27,2023-02-24,Who should old left.,Air,Food focus assume marriage standard end.
29,3,156,3,6,74.69,0.45,2.19,Y,Pending,2024-01-07,2023-08-17,2024-02-07,Understand machine type population economy.,Sea,Send food action social five.
30,988,120,1,3,81.35,0.01,1.73,Y,Pending,2023-07-06,2023-07-03,2023-10-17,Security laugh lot himself.,Land,Leg sometimes week.
31,47,13,4,4,94.9,0.14,4.73,Y,Shipped,2023-11-24,2023-06-10,2023-12-08,Drop born moment step.,Land,Understand hundred eye material write hand.
32,648,2,1,6,34.99,0.03,1.01,Y,Pending,2024-02-09,2023-07-28,2024-01-27,Eat treat accept cold dark education he.,Land,Very current pass.
33,250,6,3,4,64.55,0.08,9.22,Y,Pending,2023-10-11,2023-06-26,2023-11-08,Partner recognize wide middle.,Air,Other like include hard science get yard.
34,227,44,3,2,20.15,0.44,7.18,Y,Pending,2023-06-29,2023-03-03,2024-01-01,Another dark list respond discussion approach.,Air,Yeah media behind position behind hundred million.
35,403,107,2,8,94.07,0.08,7.47,N,Pending,2023-07-29,2023-09-04,2023-03-22,Long music report everyone later Congress.,Sea,Music mind herself over million lawyer end increase.
36,616,67,3,2,12.79,0.24,2.84,N,Shipped,2023-04-15,2024-01-05,2023-04-11,Edge billion pressure.,Air,Various do pay exist picture.
37,984,107,4,7,58.42,0.25,5.75,Y,Pending,2023-06-27,2023-11-08,2023-04-04,Rate the space trade analysis compare stuff.,Land,Network city son detail glass tend bag.
38,924,68,5,10,53.36,0.22,7.85,N,Pending,2023-07-21,2023-06-21,2023-08-14,Field stand attention blue old.,Air,Friend upon may film discover late.
39,381,110,3,5,88.69,0.18,9.99,N,Pending,2023-10-04,2023-07-22,2023-04-10,Service available all need stuff kitchen ahead.,Sea,Free goal very body several.
40,770,10,4,10,31.05,0.04,5.43,Y,Shipped,2023-12-08,2023-08-25,2023-04-13,Line consumer great seat always beat.,Air,Will beat life your.
41,984,135,2,4,51.58,0.06,1.88,Y,Shipped,2023-06-21,2023-07-12,2023-05-16,Present police hold security.,Air,Clear might remember by.
42,942,71,5,8,48.11,0.11,4.42,N,Shipped,2023-08-02,2023-12-10,2024-02-09,Low shake record politics benefit.,Land,School per many war itself sport recently thus.
