nation_key,nation_name,region_key,comments
1,Trinidad and Tobago,9,Heavy since sea true.
2,Malta,6,Congress his major share defense red throw.
3,Greenland,6,Thousand friend even score.
4,Algeria,3,Teach draw role over I reduce.
5,Kiribati,7,Agent court allow give process three model suffer.
6,Andorra,5,Deal candidate why together make season.
7,Palau,3,Discover may social reality.
8,Rwanda,6,Business think bit market drive mention always.
9,Uzbekistan,8,Will draw close forward.
10,Spain,9,Rule soon author community.
11,Bangladesh,8,Me image painting bed writer able answer Mrs.
12,Dominica,5,Home former management conference wall.
13,Bouvet Island (Bouvetoya),4,Charge rule education red character step.
14,Gambia,10,Red spend picture store.
15,Solomon Islands,6,Life share hundred third such sort.
16,Peru,3,Administration edge film one front believe.
17,United Kingdom,5,Still fast student success.
18,Benin,7,Development price between hotel tend yet.
19,Kyrgyz Republic,9,Institution I arrive until suggest billion.
