region_key,region_name,comments
1,Lithuania,Send sign late teacher.
2,Armenia,Floor world culture room dog fall.
3,Serbia,Draw best investment democratic back material.
4,Brazil,Responsibility could time recently.
5,Comoros,Road worker trip do certainly main.
6,Central African Republic,Vote send bad later training.
7,Togo,Unit keep set never special trouble their expert.
8,Marshall Islands,Somebody street store prevent decide.
9,United States Virgin Islands,Change floor cut day.
10,Netherlands Antilles,College campaign use during impact.
