supplier_key,supplier_name,supplier_address,nation_key,phone_number,account_balance,comments
1,Reed LLC,"77090 Stuart Centers Apt. 003
Mikehaven, MT 54169",12,350.761.6937x7348,1774.26,Personal grow offer western item shoulder much.
2,Robinson Inc,"19985 King Light Apt. 464
Madelinetown, NY 41391",14,721-222-3803x168,704.22,Realize person alone way three smile.
3,Moore Ltd,"16545 Bryan Forge Apt. 051
North Lisashire, NH 47676",20,505.754.0369,8756.23,Green kitchen method perform my that win adult.
4,"Clements, Marsh and Dominguez","904 Barry Courts
Chadfurt, NC 23933",1,458.300.8686x4666,6360.41,Letter enough price.
5,"Ellis, Davis and Graham","213 Kevin Terrace
North Nicholas, CA 82425",4,+1-459-807-4637,4383.12,Detail defense authority include write feeling.
6,"Russo, Taylor and Glenn","24538 Miller Rapids Apt. 455
Danielsland, OK 62558",6,574-373-0615x52938,8756.43,Single travel law character our especially want.
7,Johnson LLC,"632 Sparks Skyway
Lake Jillianmouth, CO 62076",8,347.711.6355x11374,567.51,Strategy behavior sit treatment item.
8,"Bird, Stone and Miller","586 Peterson Trail Suite 459
Perkinsburgh, FM 36726",10,+1-390-368-9854x0339,6889.39,Husband argue meet green.
9,Jackson Group,"USNS Guerra
FPO AA 35853",20,8388998530,1524.83,Example red here role look.
10,Mccarthy-Sanders,"5997 Amy Walks
North Michaelbury, WI 48340",14,(226)264-3941x43772,2720.44,Address foreign around theory now huge.
11,Johnson-Pearson,"91812 Flores Valley Apt. 972
Michaelview, RI 76886",12,675.258.8034,3664.72,Sell career yard people you matter school.
12,Medina-Castillo,"2529 Natalie Cliffs
Paulside, PA 45460",20,001-425-401-5554x90639,1409.71,Development participant hold room work would customer foreign.
13,Mccann Ltd,"1829 Bryan Field Suite 236
Kerrshire, WA 76025",17,001-321-591-0720,3592.31,Every two education realize million all.
14,Chang-Thompson,"PSC 9356, Box 3522
APO AP 21950",8,001-407-479-1516,957.39,Manage write expert simple manage soldier.
15,"Miller, Buck and Smith","155 Christopher Garden
Paulberg, KS 92852",13,332-396-0899x5617,8852.39,Past theory few employee attorney certainly eight.
16,"Stevens, Wilson and Luna","932 Johnny Forges
Stephenborough, NV 00522",15,986-499-7236,5136.61,Boy any standard.
17,Jordan Inc,"0448 Cain Plains Apt. 171
Katelynfurt, FL 81024",4,001-621-444-4758x909,1313.41,Attorney center stock.
18,Solis LLC,"USNV Schroeder
FPO AP 43803",5,257-873-3543x70951,9443.09,Human none listen those.
19,"Rogers, Vang and Garza","7578 Lawrence Loaf
Delgadoburgh, ME 57666",18,582-817-3853,4908.68,Authority old create employee.
20,Vaughn-Carpenter,"596 Heather Park
Lake Natasha, VI 21550",5,+1-656-858-7338,4238.48,Tax but listen house appear.
21,Thompson-Mcgee,"0452 Martin Terrace
Lake Annette, NY 15435",16,+1-252-407-0514,9103.02,Form player court offer recognize cold.
22,Flores-Jennings,"7246 Mosley Spring
Catherinefurt, VI 09891",16,7793617448,8015.78,First professional several lead special kid day.
23,Jones LLC,"PSC 5762, Box 8876
APO AE 13047",4,925.898.0586,6445.82,Eat daughter marriage those expert discover.
24,Cunningham-Guerra,"10086 Shaw Circle Suite 967
North Jonathanmouth, VT 66733",1,+1-919-467-3187x78130,7619.86,Two central page computer performance save increase.
25,Perkins-Garza,"46282 Duran Turnpike
West Jennifer, HI 83056",2,001-466-726-6093,447.51,Party smile tend middle have decision.
26,Ramirez-Tyler,"USNS Perez
FPO AA 75385",19,(481)750-1668x807,422.42,Us citizen social cause reflect physical task.
27,"Hughes, Schwartz and Harper","873 Jacobs Inlet
South Courtney, MD 75737",10,(611)576-9542,2060.64,Far hope avoid maintain shoulder middle fear.
28,Walker-Stewart,"338 Mercado Center
Collinsville, VT 20201",1,667-238-6772x38769,4487.87,Day myself news human somebody analysis experience.
29,Hill-Sharp,"881 Espinoza Glen
East Dustin, DE 58715",16,319.235.5301x48460,9198.35,Area movement guess method respond.
30,Williams PLC,"143 John Rest
Aprilbury, TX 92490",11,(213)357-9039x2563,9498.98,Rise share first wear of couple.
31,"Hendricks, Fisher and Mendez","91648 Sheri Turnpike Suite 467
Coxstad, AK 72734",18,676-553-3323x22217,2925.64,Movement majority to perform science.
32,"Duncan, Faulkner and Davis","88499 Mark Parkways
Marcusside, MS 90024",14,+1-207-347-4440,9587.16,Movement draw beat business worry rich.
33,Mcdonald Group,"803 Ariel Trace
Port Bruce, MP 10704",19,479-520-7165,8237.93,Glass media recognize friend.
34,"Campbell, Fox and Mayo","72487 Brian Rue
Grayville, TX 75212",4,844.331.1583,1424.52,Industry serve garden own window.
35,Walker-Brooks,"5317 Hawkins Cape
Lake Patriciaberg, NJ 16223",6,4104413633,5678.09,Opportunity set everything ball figure ability though.
36,Foster Ltd,"PSC 1365, Box 1454
APO AE 72942",13,001-803-466-1638x16617,4503.61,Station meet political condition.
37,Hopkins Ltd,"58889 Miller Parks Apt. 348
West Johnchester, IA 25891",17,001-327-475-7572x02028,1542.32,Gun role cut election town thank.
38,"Moreno, Mccoy and Reese","59622 Michael Plaza Apt. 096
East Joe, VI 71442",9,7126431918,3090.22,Soldier relationship image rich history.
39,"Newton, Charles and Pierce","95387 Denise Orchard Apt. 698
Lake Timothy, NM 72574",11,001-987-754-4251,1098.03,Property economy what carry nor.
40,"Davis, Hickman and Gonzalez","45882 Benjamin Mountain
Lake Denisefort, PA 22222",19,(390)937-5781x06427,1391.17,Election nearly list ahead.
41,Lynn and Sons,"1406 Howard Streets Apt. 366
Ericashire, MT 65450",6,9242120557,8941.22,Sell management beyond.
42,Chan LLC,"PSC 0018, Box 7812
APO AP 01356",5,9523480410,8767.19,Speak in white share concern.
43,Wells Group,"PSC 7827, Box 5771
APO AE 40201",5,573-916-2116x995,1388.78,Special control school stop research.
44,Cummings-Johnson,"574 Michael Burgs Suite 930
West Kenneth, MO 68116",10,+1-819-984-9328x559,7074.28,Friend everybody start safe cultural seem.
45,Scott-Jones,"32035 Parker Road
South Mary, VT 15644",5,671-271-0428,7885.7,Small indeed board such.
46,Brooks-Lawson,"927 Robert Union Apt. 622
Spencertown, OK 36445",10,288.335.5451,4309.49,Hand improve want decision.
47,Davila Inc,"3407 Harmon Locks Suite 801
Juliaville, NY 27950",18,001-794-468-4148x71106,6016.32,Environmental yard same generation analysis without.
48,"Arnold, Bradley and Miles","6689 Pamela Plaza
Adambury, PR 89125",3,(642)605-6901,1192.13,Music yeah start nothing.
49,"Fields, Jones and Taylor","69526 Paul Common Suite 924
Michaelmouth, LA 05905",18,001-615-478-5197x524,6226.36,Understand Congress administration like upon break.
50,Howard-Conway,"2274 Charles Roads Apt. 997
Natalieshire, NJ 80533",6,001-621-727-2816x967,2568.47,Foot scene leader prove science report yard.
